วันที่,ล่าสุด,ราคาเปิด,สูงสุด,ต่ำสุด,ปริมาณ,% เปลี่ยน
1,"1,252.55","1,262.38","1,270.74","1,250.86",9.82B,-0.54%
2,"1,259.31","1,250.79","1,261.85","1,249.91",10.82B,0.84%
3,"1,248.78","1,248.59","1,253.60","1,243.48",8.23B,0.35%
4,"1,244.48","1,234.94","1,246.58","1,230.55",7.45B,0.64%
5,"1,236.61","1,248.32","1,255.84","1,236.61",10.93B,-1.08%
6,"1,250.09","1,247.76","1,255.44","1,246.00",7.93B,0.17%
7,"1,248.03","1,253.41","1,260.75","1,246.86",8.00B,-0.26%
8,"1,251.26","1,255.95","1,262.93","1,249.45",9.80B,-0.90%
9,"1,262.67","1,264.69","1,268.13","1,260.76",8.60B,0.74%
10,"1,253.39","1,247.25","1,257.99","1,245.30",8.21B,0.69%
11,"1,244.79","1,252.61","1,254.52","1,243.53",10.12B,-0.27%
12,"1,248.13","1,234.49","1,251.14","1,228.43",10.93B,1.00%
13,"1,235.76","1,238.85","1,248.40","1,235.76",8.50B,-0.53%
14,"1,242.31","1,260.23","1,260.23","1,242.31",8.30B,-1.36%
15,"1,259.42","1,268.88","1,270.89","1,253.51",9.84B,-0.57%
16,"1,266.67","1,277.09","1,283.55","1,266.05",10.11B,-0.84%
17,"1,277.43","1,270.55","1,280.16","1,263.93",10.71B,1.46%
18,"1,259.07","1,260.48","1,266.01","1,253.24",9.14B,-0.48%
19,"1,265.15","1,270.44","1,280.78","1,260.31",11.80B,0.05%
20,"1,264.47","1,253.85","1,266.52","1,248.09",11.20B,1.40%
21,"1,246.96","1,235.13","1,250.36","1,233.44",9.71B,1.43%